##META
key,value
title,AI 辅助测试覆盖度（多级表头示例）
subtitle,COLUMNS 段加 parent 列即可生成二级表头；同一 parent 下的列会合并成一组
footnote,数据仅作示例，全部可在 Excel/CSV 中修改

##METRICS
group_key,group_label,key,label,value,unit,mom,trend,description
quality,质量指标,total-cases,用例总数,"3,560",,+9.4%,up,本月新增的测试用例总数（含 AI 与人工）
quality,质量指标,ai-ratio,AI生成占比,60.3%,,+5.2pp,up,公式：AI 生成有效用例数 ÷ 用例总数
quality,质量指标,defect-found,缺陷发现数,128,,-3.1%,down,本月发现的全部缺陷数
capability,能力指标,ai-generated,AI生成用例数,"3,420",,+22.5%,up,AI 系统本月生成的全部候选用例
capability,能力指标,adoption-rate,采纳率,62.8%,,-1.2pp,down,AI 采纳用例数 ÷ AI 生成用例数
capability,能力指标,avg-interactions,平均交互次数,4.6,,-0.3,down,每个需求的平均交互轮数

##COLUMNS
key,label,parent,width,align,highlight,sortable
industry,产业,,120px,left,0,0
owner,接口人,,90px,left,0,0
design,测试设计阶段,,,center,0,0
design-coverage,覆盖人数,design,,center,0,1
design-landed,落地需求,design,,center,0,1
design-adoption,采纳率,design,,center,1,1
exec,测试执行阶段,,,center,0,0
exec-cases,执行用例,exec,,center,0,1
exec-passrate,通过率,exec,,center,1,1
exec-defects,发现缺陷,exec,,right,0,1
result,缺陷分析,,,center,0,0
result-ai,AI识别,result,,center,0,1
result-manual,人工补充,result,,center,0,1

##ROWS
industry,owner,design-coverage,design-landed,design-adoption,exec-cases,exec-passrate,exec-defects,result-ai,result-manual
智能汽车,张三,42,18,68%,1280,92.4%,52,38,14
云计算,李四,38,15,72%,1120,94.1%,41,31,10
工业互联,王五,29,11,55%,820,88.7%,27,16,11
智能终端,赵六,55,22,64%,1560,91.2%,63,47,16
网络产品,孙七,33,14,70%,980,93.8%,35,26,9
